"account_name,platform,content_category,post_type,likes,shares,comments,impressions,followers_gained,date"
"TechWorld,Instagram,technology,static_image,3262,410,228,12471,43,2024-01-12"
"FutureTech,Twitter,technology,long_form,2591,198,211,12857,54,2024-01-12"
"FoodieHeaven,Instagram,food,carousel,3336,385,762,20637,182,2024-01-13"
"ShowBuzz,Instagram,entertainment,long_form,8263,501,546,21008,225,2024-01-13"
"GameTime,Twitter,sports,long_form,1887,383,311,15201,36,2024-01-13"
"AthletePro,Twitter,sports,carousel,2723,322,274,17754,74,2024-01-13"
"DigitalDaily,Facebook,technology,carousel,3418,439,151,12607,85,2024-01-14"
"AthletePro,Facebook,sports,long_form,4347,324,255,14619,86,2024-01-14"
"ShowBuzz,Instagram,entertainment,static_image,4180,448,550,26916,89,2024-01-14"
"SpiritualSage,Instagram,spirituality,reel,5927,422,1022,30776,245,2024-01-14"
"FutureTech,Instagram,technology,carousel,4046,655,397,20005,127,2024-01-15"
"InnerPeace,Facebook,spirituality,static_image,3916,246,399,15010,62,2024-01-15"
"CulinaryCloud,Twitter,food,carousel,3383,327,452,18803,80,2024-01-15"
"EntertainPro,Twitter,entertainment,carousel,7216,292,612,19894,68,2024-01-15"
"MindfulMoments,Instagram,spirituality,long_form,3082,383,586,27532,146,2024-01-16"
"TechWorld,Instagram,technology,long_form,3173,482,117,16061,77,2024-01-16"
"GameTime,Twitter,sports,static_image,1778,286,208,8861,57,2024-01-16"
"FutureTech,Instagram,technology,static_image,1610,428,164,16671,39,2024-01-16"
"TastyTales,Twitter,food,carousel,2760,194,480,16429,71,2024-01-17"
"CelebScene,Twitter,entertainment,reel,5358,605,763,29303,184,2024-01-17"
"EntertainPro,Instagram,entertainment,long_form,4616,602,576,31339,60,2024-01-17"
"GameTime,Facebook,sports,long_form,2756,241,357,14547,109,2024-01-17"
"SpiritualSage,Instagram,spirituality,carousel,5338,514,648,37915,160,2024-01-18"
"AthletePro,Twitter,sports,static_image,1920,324,204,7997,42,2024-01-18"
"ShowBuzz,Twitter,entertainment,carousel,6953,390,741,25200,60,2024-01-18"
"CelebScene,Instagram,entertainment,static_image,5012,671,581,30162,126,2024-01-18"
"TechWorld,Twitter,technology,carousel,2927,174,144,16464,38,2024-01-19"
"FoodieHeaven,Instagram,food,long_form,3965,346,297,16726,86,2024-01-19"
"TastyTales,Facebook,food,carousel,4972,418,307,19570,121,2024-01-19"
"SpiritualSage,Twitter,spirituality,carousel,2733,327,316,16906,73,2024-01-19"
"TastyTales,Twitter,food,long_form,3444,232,236,14245,76,2024-01-20"
"EntertainPro,Twitter,entertainment,long_form,3142,447,353,21239,137,2024-01-20"
"SportsHub,Facebook,sports,carousel,4029,594,520,13644,109,2024-01-20"
"ShowBuzz,Facebook,entertainment,long_form,2840,335,448,26420,47,2024-01-20"
"CulinaryCloud,Instagram,food,reel,6870,447,456,35120,136,2024-01-21"
"SpiritualSage,Twitter,spirituality,static_image,2412,277,234,10097,43,2024-01-21"
